               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.032081,            0.021636,           0.0024409,             0.90658,             0.76794,             0.84942,              0.5167,            0.032554,            0.020653,           0.0054681,           0.0070021,           0.0070021,           0.0070021
                  49,             0.03202,            0.021421,           0.0024236,             0.89993,              0.7826,             0.84673,             0.52074,            0.031919,            0.020625,           0.0058941,           0.0068906,           0.0068906,           0.0068906
                  50,            0.031629,            0.021885,           0.0022509,             0.92992,             0.76168,             0.85049,             0.51662,            0.032456,            0.020841,            0.005706,           0.0067781,           0.0067781,           0.0067781
                  51,            0.031861,             0.02123,           0.0023248,             0.89959,             0.78034,             0.85461,             0.51605,             0.03266,            0.020517,           0.0055896,           0.0066647,           0.0066647,           0.0066647
                  52,            0.032202,             0.02161,           0.0023532,              0.9206,             0.76254,             0.84765,             0.51357,            0.032765,            0.020619,           0.0056768,           0.0065505,           0.0065505,           0.0065505
                  53,            0.031755,            0.021737,           0.0023588,             0.90889,             0.77648,             0.85457,             0.52511,            0.032437,            0.020476,           0.0053073,           0.0064356,           0.0064356,           0.0064356
                  54,            0.031793,            0.021578,           0.0023502,             0.88537,             0.80485,             0.85619,             0.52164,            0.032361,            0.020372,           0.0059225,           0.0063201,           0.0063201,           0.0063201
                  55,            0.031366,            0.021602,            0.002249,             0.90469,             0.79765,             0.85756,             0.52368,            0.032379,            0.020822,           0.0058291,            0.006204,            0.006204,            0.006204
                  56,            0.031069,            0.021703,           0.0020671,             0.92194,              0.8096,             0.86486,             0.52805,            0.032384,            0.020849,           0.0046607,           0.0060874,           0.0060874,           0.0060874
                  57,            0.031492,            0.021264,           0.0021918,             0.90507,             0.78877,             0.85395,             0.52968,            0.032209,            0.021294,           0.0056536,           0.0059704,           0.0059704,           0.0059704
                  58,            0.031096,            0.020856,           0.0021275,             0.89598,             0.81895,              0.8636,             0.52646,            0.031843,            0.020135,           0.0053055,           0.0058531,           0.0058531,           0.0058531
